Blend ID(BDID),Characteristics of material,Material type,Mixing / Blending method,Molecular weight,Morphology,Name,Non-solvent,Polymer type,Polymerization information,Processing information,Remarks,Sample ID,Sequence info,Solvent,Branch/crosslink info,Glass transition temp.,comp_01_CU Chemical Strucutre,comp_01_CU formula,comp_01_Composition[%],comp_01_Composition[TLC-FID Area],comp_01_Composition[],comp_01_Composition[mol ratio of monomer repeating units],comp_01_Composition[mol ratio],comp_01_Composition[mol%],comp_01_Composition[part],comp_01_Composition[phr],comp_01_Composition[ratio],comp_01_Composition[unknown],comp_01_Composition[vol ratio],comp_01_Composition[vol%],comp_01_Composition[wt ratio],comp_01_Composition[wt%],comp_01_Formula weight(FW),comp_01_PID of Component,comp_01_Sample ID,comp_02_CU Chemical Strucutre,comp_02_CU formula,comp_02_Composition[%],comp_02_Composition[TLC-FID Area],comp_02_Composition[],comp_02_Composition[mol ratio of monomer repeating units],comp_02_Composition[mol ratio],comp_02_Composition[mol%],comp_02_Composition[part],comp_02_Composition[phr],comp_02_Composition[ratio],comp_02_Composition[unknown],comp_02_Composition[vol ratio],comp_02_Composition[vol%],comp_02_Composition[wt ratio],comp_02_Composition[wt%],comp_02_Formula weight(FW),comp_02_PID of Component,comp_02_Sample ID,comp_03_CU Chemical Strucutre,comp_03_CU formula,comp_03_Composition[%],comp_03_Composition[TLC-FID Area],comp_03_Composition[],comp_03_Composition[mol ratio of monomer repeating units],comp_03_Composition[mol ratio],comp_03_Composition[mol%],comp_03_Composition[part],comp_03_Composition[phr],comp_03_Composition[ratio],comp_03_Composition[unknown],comp_03_Composition[vol ratio],comp_03_Composition[vol%],comp_03_Composition[wt ratio],comp_03_Composition[wt%],comp_03_Formula weight(FW),comp_03_PID of Component,comp_03_Sample ID,comp_04_CU Chemical Strucutre,comp_04_CU formula,comp_04_Composition[%],comp_04_Composition[TLC-FID Area],comp_04_Composition[],comp_04_Composition[mol ratio of monomer repeating units],comp_04_Composition[mol ratio],comp_04_Composition[mol%],comp_04_Composition[part],comp_04_Composition[phr],comp_04_Composition[ratio],comp_04_Composition[unknown],comp_04_Composition[vol ratio],comp_04_Composition[vol%],comp_04_Composition[wt ratio],comp_04_Composition[wt%],comp_04_Formula weight(FW),comp_04_PID of Component,comp_04_Sample ID,Reference
BD000768,,Neat resin,"Soln. blending; dissolved in trifluoroacetic acid/chloroform, coprecipitated in acetone",,,"poly[(butane-1,4-diol)-alt-(terephthalic acid)]//poly{(biphenyl-4,4'-diol)-alt-[2,5-bis(hexyloxy)terephthalic acid]}","['acetone, ethanol, water']",Blend,,,,78208-6-4-2,,['Mixture of trifluoroacetic acid and chloroform'],,"['Glass transition temp. 109 [C]', 'Method: DSC', 'Condition: Heating rate; 20C/min', 'Remarks: Another Tg 33C']",,C32H36O6,,,,,,,,,,,,,10,,516.62,P390399,78208-4-1-1,,C12H12O4,,,,,,,,,,,,,90,,220.22,P090029,78208-5-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chang, Jin-Hae; Jo, Bung-Wook; Lee, Soo-Min , Polymer Preprints (American Chemical Society, Division of Polymer Chemistry) , 36 , 1 , 829-830 (1995)"
BD000768,,Neat resin,"Soln. blending; dissolved in trifluoroacetic acid/chloroform, coprecipitated in acetone",,,"poly[(butane-1,4-diol)-alt-(terephthalic acid)]//poly{(biphenyl-4,4'-diol)-alt-[2,5-bis(hexyloxy)terephthalic acid]}","['acetone, ethanol, water']",Blend,,,,78208-6-5-2,,['Mixture of trifluoroacetic acid and chloroform'],,"['Glass transition temp. 33 [C]', 'Method: DSC', 'Condition: Heating rate; 20C/min']",,C32H36O6,,,,,,,,,,,,,5,,516.62,P390399,78208-4-1-1,,C12H12O4,,,,,,,,,,,,,95,,220.22,P090029,78208-5-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chang, Jin-Hae; Jo, Bung-Wook; Lee, Soo-Min , Polymer Preprints (American Chemical Society, Division of Polymer Chemistry) , 36 , 1 , 829-830 (1995)"
BD000768,,Neat resin,"Soln. blending; dissolved in trifluoroacetic acid/chloroform, coprecipitated in acetone",,,"poly[(butane-1,4-diol)-alt-(terephthalic acid)]//poly{(biphenyl-4,4'-diol)-alt-[2,5-bis(hexyloxy)terephthalic acid]}","['acetone, ethanol, water']",Blend,,,,78208-6-6-2,,['Mixture of trifluoroacetic acid and chloroform'],,"['Glass transition temp. 36 [C]', 'Method: DSC', 'Condition: Heating rate; 20C/min']",,C32H36O6,,,,,,,,,,,,,3,,516.62,P390399,78208-4-1-1,,C12H12O4,,,,,,,,,,,,,97,,220.22,P090029,78208-5-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chang, Jin-Hae; Jo, Bung-Wook; Lee, Soo-Min , Polymer Preprints (American Chemical Society, Division of Polymer Chemistry) , 36 , 1 , 829-830 (1995)"
BD000768,,Neat resin,"Soln. blending; dissolved in trifluoroacetic acid/chloroform, coprecipitated in acetone",,,"poly[(butane-1,4-diol)-alt-(terephthalic acid)]//poly{(biphenyl-4,4'-diol)-alt-[2,5-bis(hexyloxy)terephthalic acid]}","['acetone, ethanol, water']",Blend,,,,78208-6-7-2,,['Mixture of trifluoroacetic acid and chloroform'],,"['Glass transition temp. 38 [C]', 'Method: DSC', 'Condition: Heating rate; 20C/min']",,C32H36O6,,,,,,,,,,,,,1,,516.62,P390399,78208-4-1-1,,C12H12O4,,,,,,,,,,,,,99,,220.22,P090029,78208-5-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chang, Jin-Hae; Jo, Bung-Wook; Lee, Soo-Min , Polymer Preprints (American Chemical Society, Division of Polymer Chemistry) , 36 , 1 , 829-830 (1995)"
BD000769,"Thermoplastic,Crystal",Neat resin,"PBT/PAr (70/30wt%) melt blended in Collin twin-screw extruder-kneader at 250C, 50rpm, then PBT mixed with the mixt.",,"Miscible (DMA, single Tg)","poly[(butane-1,4-diol)-alt-(terephthalic acid)]//poly[ethene-co-(oct-1-ene)]//poly{[(bisphenol A)-alt-(terephthalic acid)]-co-[(bisphenol A)-alt-(isophthalic acid)]}",,Blend,,,,26446-5-1-1,,,,"['Glass transition temp. 63 [C]', 'Method: DMA', 'Condition: Heating rate;2C/min & Frequency;1Hz & single cantilever mode', 'Remarks: Temp. of tan(delta)max.']",,C12H12O4,,,,,,,,,,,,,,90,220.22,P090029,26446-1-1-1,,C23H18O4 / C23H18O4,,,,,,,,,,,,,,10,358.39 / 358.39,P900035,26446-2-1-1,,C2H4 / C8H16,,,,,,,,,,,,,,0,28.05 / 112.21,P900014,26446-3-1-1,,,,,,,,,,,,,,,,,,,,"Arostegui, A.; Nazabal, J. , Polymer , 44 , 18 , 5227-5237 (2003)"
BD000769,"Thermoplastic,Crystal",Neat resin,"PBT/PAr (70/30wt%) melt blended in Collin twin-screw extruder-kneader at 250C, 50rpm, then PBT and LLDPE mixed with the mixt.",,"Immiscible (DMA, two Tg), particle size of LLDPE;1.42micron;SEM","poly[(butane-1,4-diol)-alt-(terephthalic acid)]//poly[ethene-co-(oct-1-ene)]//poly{[(bisphenol A)-alt-(terephthalic acid)]-co-[(bisphenol A)-alt-(isophthalic acid)]}",,Blend,,,,26446-5-2-1,,,,"['Glass transition temp. ca -40 [C]', 'Method: DMA', 'Condition: Heating rate;2C/min & Frequency;1Hz & single cantilever mode', 'Remarks: Tg of LLDPE, temp. of tan(delta)max., taken from the Fig.1']",,C12H12O4,,,,,,,,,,,,,,81,220.22,P090029,26446-1-1-1,,C23H18O4 / C23H18O4,,,,,,,,,,,,,,9,358.39 / 358.39,P900035,26446-2-1-1,,C2H4 / C8H16,,,,,,,,,,,,,,10,28.05 / 112.21,P900014,26446-3-1-1,,,,,,,,,,,,,,,,,,,,"Arostegui, A.; Nazabal, J. , Polymer , 44 , 18 , 5227-5237 (2003)"
BD000770,"Thermoplastic,Crystal",Neat resin,"PBT/PAr (70/30wt%) melt blended in Collin twin-screw extruder-kneader at 250C, 50rpm, then PBT mixed with the mixt.",,"Miscible (DMA, single Tg)","poly[(butane-1,4-diol)-alt-(terephthalic acid)]//poly{[(bisphenol A)-alt-(terephthalic acid)]-co-[(bisphenol A)-alt-(isophthalic acid)]}//poly(ethylene/1-hexylethylene)-poly(2,5-dioxotetrahydrofuran-3,4-diyl)",,Blend,,,,26446-6-1-1,,,,"['Glass transition temp. 63 [C]', 'Method: DMA', 'Condition: Heating rate;2C/min & Frequency;1Hz & single cantilever mode', 'Remarks: Temp. of tan(delta)max.']",,C12H12O4,,,,,,,,,,,,,,90,220.22,P090029,26446-1-1-1,,C23H18O4 / C23H18O4,,,,,,,,,,,,,,10,358.39 / 358.39,P900035,26446-2-1-1,,CH2 / C4H2O3 / C8H16,,,,,,,,,,,,,,0,14.03 / 98.06 / 112.21,P904565,26446-4-1-1,,,,,,,,,,,,,,,,,,,,"Arostegui, A.; Nazabal, J. , Polymer , 44 , 18 , 5227-5237 (2003)"
BD000770,"Thermoplastic,Crystal",Neat resin,"PBT/PAr (70/30wt%) melt blended in Collin twin-screw extruder-kneader at 250C, 50rpm, then PBT and maleated LLDPE mixed with the mixt.",,"Immiscible (DMA, two Tg), particle size of LLDPE;0.77micron;SEM","poly[(butane-1,4-diol)-alt-(terephthalic acid)]//poly{[(bisphenol A)-alt-(terephthalic acid)]-co-[(bisphenol A)-alt-(isophthalic acid)]}//poly(ethylene/1-hexylethylene)-poly(2,5-dioxotetrahydrofuran-3,4-diyl)",,Blend,,,,26446-6-4-1,,,,"['Glass transition temp. ca -40 [C]', 'Method: DMA', 'Condition: Heating rate;2C/min & Frequency;1Hz & single cantilever mode', 'Remarks: Tg of LLDPE, temp. of tan(delta)max., taken from the Fig.1']",,C12H12O4,,,,,,,,,,,,,,81,220.22,P090029,26446-1-1-1,,C23H18O4 / C23H18O4,,,,,,,,,,,,,,9,358.39 / 358.39,P900035,26446-2-1-1,,CH2 / C4H2O3 / C8H16,,,,,,,,,,,,,,10,14.03 / 98.06 / 112.21,P904565,26446-4-1-1,,,,,,,,,,,,,,,,,,,,"Arostegui, A.; Nazabal, J. , Polymer , 44 , 18 , 5227-5237 (2003)"
BD000770,"Thermoplastic,Crystal",Neat resin,"PBT/PAr (70/30wt%) melt blended in Collin twin-screw extruder-kneader at 250C, 50rpm, then PBT and maleated LLDPE mixed with the mixt.",,"Immiscible (DMA, two Tg)","poly[(butane-1,4-diol)-alt-(terephthalic acid)]//poly{[(bisphenol A)-alt-(terephthalic acid)]-co-[(bisphenol A)-alt-(isophthalic acid)]}//poly(ethylene/1-hexylethylene)-poly(2,5-dioxotetrahydrofuran-3,4-diyl)",,Blend,,,,26446-6-6-1,,,,"['Glass transition temp. ca -40 [C]', 'Method: DMA', 'Condition: Heating rate;2C/min & Frequency;1Hz & single cantilever mode', 'Remarks: Tg of LLDPE, temp. of tan(delta)max., taken from the Fig.1']",,C12H12O4,,,,,,,,,,,,,,63,220.22,P090029,26446-1-1-1,,C23H18O4 / C23H18O4,,,,,,,,,,,,,,7,358.39 / 358.39,P900035,26446-2-1-1,,CH2 / C4H2O3 / C8H16,,,,,,,,,,,,,,30,14.03 / 98.06 / 112.21,P904565,26446-4-1-1,,,,,,,,,,,,,,,,,,,,"Arostegui, A.; Nazabal, J. , Polymer , 44 , 18 , 5227-5237 (2003)"
BD000774,linear,Neat resin,,,Monophasic partially transesterified(DSC),"poly[(butane-1,4-diol)-alt-(terephthalic acid)]//poly({[4,4'-(propane-2,2-diyl)diphenol]-alt-phosgene}-co-{[4,4'-(propane-2,2-diyl)diphenol]-alt-(terephthloyl dichloride)}-co-{[4,4'-(propane-2,2-diyl)diphenol]-alt-(isophthaloyl dichloride)})","['CHCl3,MeOH']",Blend,,"Compression: 250C,200t
Quenching: Quenched into cold-water
Shape of Test Piece: Sheet
Remarks: t=1mm",,00332-5-2-1,,['phenol'],,"['Glass transition temp. ca 48 [C]', 'Method: DSC', 'Condition: Heating rate;20C/min&N2,2nd scan,cooled from 250C at 100C/min', 'Remarks: Taken from the Fig.']",,C12H12O4,,,,,,,,,,,,,,80,220.22,P090029,00332-1-1-1,,C16H14O3 / C23H18O4 / C23H18O4,,,,,,,,,,,,,,20,254.28 / 358.39 / 358.39,P900991,00332-2-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rodriguez, Jose Luis; Eguiazabal, Jose Ignacio; Nazabal, Jon , Polymer Journal , 28 , 6 , 501-506 (1996)"
BD000774,linear,Neat resin,,,Monophasic partially transesterified(DSC),"poly[(butane-1,4-diol)-alt-(terephthalic acid)]//poly({[4,4'-(propane-2,2-diyl)diphenol]-alt-phosgene}-co-{[4,4'-(propane-2,2-diyl)diphenol]-alt-(terephthloyl dichloride)}-co-{[4,4'-(propane-2,2-diyl)diphenol]-alt-(isophthaloyl dichloride)})","['CHCl3,MeOH']",Blend,,"Compression: 250C,200t
Quenching: Quenched into cold-water
Shape of Test Piece: Sheet
Remarks: t=1mm",,00332-5-3-1,,['phenol'],,"['Glass transition temp. ca 50 [C]', 'Method: DSC', 'Condition: Heating rate;20C/min&N2,2nd scan,cooled from 250C at 100C/min', 'Remarks: Taken from the Fig.']",,C12H12O4,,,,,,,,,,,,,,70,220.22,P090029,00332-1-1-1,,C16H14O3 / C23H18O4 / C23H18O4,,,,,,,,,,,,,,30,254.28 / 358.39 / 358.39,P900991,00332-2-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rodriguez, Jose Luis; Eguiazabal, Jose Ignacio; Nazabal, Jon , Polymer Journal , 28 , 6 , 501-506 (1996)"
BD000774,linear,Neat resin,,,Monophasic partially transesterified(DSC),"poly[(butane-1,4-diol)-alt-(terephthalic acid)]//poly({[4,4'-(propane-2,2-diyl)diphenol]-alt-phosgene}-co-{[4,4'-(propane-2,2-diyl)diphenol]-alt-(terephthloyl dichloride)}-co-{[4,4'-(propane-2,2-diyl)diphenol]-alt-(isophthaloyl dichloride)})","['CHCl3,MeOH']",Blend,,"Compression: 250C,200t
Quenching: Quenched into cold-water
Shape of Test Piece: Sheet
Remarks: t=1mm",,00332-5-4-1,,['phenol'],,"['Glass transition temp. ca 60 [C]', 'Method: DSC', 'Condition: Heating rate;20C/min&N2,2nd scan,cooled from 250C at 100C/min', 'Remarks: Taken from the Fig.']",,C12H12O4,,,,,,,,,,,,,,60,220.22,P090029,00332-1-1-1,,C16H14O3 / C23H18O4 / C23H18O4,,,,,,,,,,,,,,40,254.28 / 358.39 / 358.39,P900991,00332-2-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rodriguez, Jose Luis; Eguiazabal, Jose Ignacio; Nazabal, Jon , Polymer Journal , 28 , 6 , 501-506 (1996)"
BD000774,linear,Neat resin,,,Monophasic partially transesterified(DSC),"poly[(butane-1,4-diol)-alt-(terephthalic acid)]//poly({[4,4'-(propane-2,2-diyl)diphenol]-alt-phosgene}-co-{[4,4'-(propane-2,2-diyl)diphenol]-alt-(terephthloyl dichloride)}-co-{[4,4'-(propane-2,2-diyl)diphenol]-alt-(isophthaloyl dichloride)})","['CHCl3,MeOH']",Blend,,"Compression: 250C,200t
Quenching: Quenched into cold-water
Shape of Test Piece: Sheet
Remarks: t=1mm,opaque",,00332-5-1-1,,['phenol'],,"['Glass transition temp. ca 46 [C]', 'Method: DSC', 'Condition: Heating rate;20C/min&N2,2nd scan,cooled from 250C at 100C/min', 'Remarks: Taken from the Fig.']",,C12H12O4,,,,,,,,,,,,,,90,220.22,P090029,00332-1-1-1,,C16H14O3 / C23H18O4 / C23H18O4,,,,,,,,,,,,,,10,254.28 / 358.39 / 358.39,P900991,00332-2-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rodriguez, Jose Luis; Eguiazabal, Jose Ignacio; Nazabal, Jon , Polymer Journal , 28 , 6 , 501-506 (1996)"
BD000774,linear,Neat resin,,,Monophasic partially transesterified(DSC),"poly[(butane-1,4-diol)-alt-(terephthalic acid)]//poly({[4,4'-(propane-2,2-diyl)diphenol]-alt-phosgene}-co-{[4,4'-(propane-2,2-diyl)diphenol]-alt-(terephthloyl dichloride)}-co-{[4,4'-(propane-2,2-diyl)diphenol]-alt-(isophthaloyl dichloride)})","['CHCl3,MeOH']",Blend,,"Soln. pptn.: Pptd. from phenol soln. into MeOH,dried in vacuo at 80C for 48h
Shape of Test Piece: Powder",,00332-5-2-2,,['phenol'],,"['Glass transition temp. ca 49 [C]', 'Method: DSC', 'Condition: Heating rate;20C/min&N2,2nd scan,cooled from 250C at 100C/min', 'Remarks: Taken from the Fig.']",,C12H12O4,,,,,,,,,,,,,,80,220.22,P090029,00332-1-1-1,,C16H14O3 / C23H18O4 / C23H18O4,,,,,,,,,,,,,,20,254.28 / 358.39 / 358.39,P900991,00332-2-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rodriguez, Jose Luis; Eguiazabal, Jose Ignacio; Nazabal, Jon , Polymer Journal , 28 , 6 , 501-506 (1996)"
BD000774,linear,Neat resin,Melt-mixing in Brabender at 250C&30rpm for 12min after drying in vacuo at 80C for 24h,,Monophasic partially transesterified(DSC),"poly[(butane-1,4-diol)-alt-(terephthalic acid)]//poly({[4,4'-(propane-2,2-diyl)diphenol]-alt-phosgene}-co-{[4,4'-(propane-2,2-diyl)diphenol]-alt-(terephthloyl dichloride)}-co-{[4,4'-(propane-2,2-diyl)diphenol]-alt-(isophthaloyl dichloride)})","['CHCl3,MeOH']",Blend,,,,00332-5-1-1,,['phenol'],,"['Glass transition temp. ca 46 [C]', 'Method: DSC', 'Condition: Heating rate;20C/min&N2,2nd scan,cooled from 250C at 100C/min', 'Remarks: Taken from the Fig.']",,C12H12O4,,,,,,,,,,,,,,90,220.22,P090029,00332-1-1-1,,C16H14O3 / C23H18O4 / C23H18O4,,,,,,,,,,,,,,10,254.28 / 358.39 / 358.39,P900991,00332-2-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rodriguez, Jose Luis; Eguiazabal, Jose Ignacio; Nazabal, Jon , Polymer Journal , 28 , 6 , 501-506 (1996)"
BD000774,linear,Neat resin,Melt-mixing in Brabender at 250C&30rpm for 12min after drying in vacuo at 80C for 24h,,Monophasic partially transesterified(DSC),"poly[(butane-1,4-diol)-alt-(terephthalic acid)]//poly({[4,4'-(propane-2,2-diyl)diphenol]-alt-phosgene}-co-{[4,4'-(propane-2,2-diyl)diphenol]-alt-(terephthloyl dichloride)}-co-{[4,4'-(propane-2,2-diyl)diphenol]-alt-(isophthaloyl dichloride)})","['CHCl3,MeOH']",Blend,,,,00332-5-2-1,,['phenol'],,"['Glass transition temp. ca 48 [C]', 'Method: DSC', 'Condition: Heating rate;20C/min&N2,2nd scan,cooled from 250C at 100C/min', 'Remarks: Taken from the Fig.']",,C12H12O4,,,,,,,,,,,,,,80,220.22,P090029,00332-1-1-1,,C16H14O3 / C23H18O4 / C23H18O4,,,,,,,,,,,,,,20,254.28 / 358.39 / 358.39,P900991,00332-2-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rodriguez, Jose Luis; Eguiazabal, Jose Ignacio; Nazabal, Jon , Polymer Journal , 28 , 6 , 501-506 (1996)"
BD000774,linear,Neat resin,,,Monophasic partially transesterified(DSC),"poly[(butane-1,4-diol)-alt-(terephthalic acid)]//poly({[4,4'-(propane-2,2-diyl)diphenol]-alt-phosgene}-co-{[4,4'-(propane-2,2-diyl)diphenol]-alt-(terephthloyl dichloride)}-co-{[4,4'-(propane-2,2-diyl)diphenol]-alt-(isophthaloyl dichloride)})","['CHCl3,MeOH']",Blend,,,,00332-5-2-2,,['phenol'],,"['Glass transition temp. ca 49 [C]', 'Method: DSC', 'Condition: Heating rate;20C/min&N2,2nd scan,cooled from 250C at 100C/min', 'Remarks: Taken from the Fig.']",,C12H12O4,,,,,,,,,,,,,,80,220.22,P090029,00332-1-1-1,,C16H14O3 / C23H18O4 / C23H18O4,,,,,,,,,,,,,,20,254.28 / 358.39 / 358.39,P900991,00332-2-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rodriguez, Jose Luis; Eguiazabal, Jose Ignacio; Nazabal, Jon , Polymer Journal , 28 , 6 , 501-506 (1996)"
BD000774,linear,Neat resin,Melt-mixing in Brabender at 250C&30rpm for 12min after drying in vacuo at 80C for 24h,,Monophasic partially transesterified(DSC),"poly[(butane-1,4-diol)-alt-(terephthalic acid)]//poly({[4,4'-(propane-2,2-diyl)diphenol]-alt-phosgene}-co-{[4,4'-(propane-2,2-diyl)diphenol]-alt-(terephthloyl dichloride)}-co-{[4,4'-(propane-2,2-diyl)diphenol]-alt-(isophthaloyl dichloride)})","['CHCl3,MeOH']",Blend,,,,00332-5-3-1,,['phenol'],,"['Glass transition temp. ca 50 [C]', 'Method: DSC', 'Condition: Heating rate;20C/min&N2,2nd scan,cooled from 250C at 100C/min', 'Remarks: Taken from the Fig.']",,C12H12O4,,,,,,,,,,,,,,70,220.22,P090029,00332-1-1-1,,C16H14O3 / C23H18O4 / C23H18O4,,,,,,,,,,,,,,30,254.28 / 358.39 / 358.39,P900991,00332-2-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rodriguez, Jose Luis; Eguiazabal, Jose Ignacio; Nazabal, Jon , Polymer Journal , 28 , 6 , 501-506 (1996)"
BD000774,linear,Neat resin,Melt-mixing in Brabender at 250C&30rpm for 12min after drying in vacuo at 80C for 24h,,Monophasic partially transesterified(DSC),"poly[(butane-1,4-diol)-alt-(terephthalic acid)]//poly({[4,4'-(propane-2,2-diyl)diphenol]-alt-phosgene}-co-{[4,4'-(propane-2,2-diyl)diphenol]-alt-(terephthloyl dichloride)}-co-{[4,4'-(propane-2,2-diyl)diphenol]-alt-(isophthaloyl dichloride)})","['CHCl3,MeOH']",Blend,,,,00332-5-4-1,,['phenol'],,"['Glass transition temp. ca 60 [C]', 'Method: DSC', 'Condition: Heating rate;20C/min&N2,2nd scan,cooled from 250C at 100C/min', 'Remarks: Taken from the Fig.']",,C12H12O4,,,,,,,,,,,,,,60,220.22,P090029,00332-1-1-1,,C16H14O3 / C23H18O4 / C23H18O4,,,,,,,,,,,,,,40,254.28 / 358.39 / 358.39,P900991,00332-2-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rodriguez, Jose Luis; Eguiazabal, Jose Ignacio; Nazabal, Jon , Polymer Journal , 28 , 6 , 501-506 (1996)"
BD000775,"linear,Thermoplastic,Liquid crystal",Neat resin,,,,"poly[(butane-1,4-diol)-alt-(terephthalic acid)]//poly({2-[2-(2-ethoxyethoxy)ethoxy]hydroquinone;ethane-1,2-diol}-alt-(telaphtaloyl dichloride))",['acetone'],Blend,,Quenching,,20567-4-1-2,,['CF3COOH'],,"['Glass transition temp. 311 [K]', 'Method: DSC', 'Condition: Heating rate;20K/min & N2']",,C20H20O7 / C10H8O4,,,,,,,,,,,,,,90,372.37 / 192.17,P902429,20567-2-1-1,,C12H12O4,,,,,,,,,,,,,,10,220.22,P090029,20567-3-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lim, Ae Ran; Hong, Kwan Soo; Chang, Jin-Hae , Solid State Communications , 100 , 10 , 731-736 (1996)"
BD000775,"linear,Thermoplastic,Liquid crystal",Neat resin,,,,"poly[(butane-1,4-diol)-alt-(terephthalic acid)]//poly({2-[2-(2-ethoxyethoxy)ethoxy]hydroquinone;ethane-1,2-diol}-alt-(telaphtaloyl dichloride))",['acetone'],Blend,,Quenching,,20567-4-2-2,,['CF3COOH'],,"['Glass transition temp. 311 [K]', 'Method: DSC', 'Condition: Heating rate;20K/min & N2']",,C20H20O7 / C10H8O4,,,,,,,,,,,,,,80,372.37 / 192.17,P902429,20567-2-1-1,,C12H12O4,,,,,,,,,,,,,,20,220.22,P090029,20567-3-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lim, Ae Ran; Hong, Kwan Soo; Chang, Jin-Hae , Solid State Communications , 100 , 10 , 731-736 (1996)"
BD000775,"linear,Thermoplastic,Liquid crystal",Neat resin,,,,"poly[(butane-1,4-diol)-alt-(terephthalic acid)]//poly({2-[2-(2-ethoxyethoxy)ethoxy]hydroquinone;ethane-1,2-diol}-alt-(telaphtaloyl dichloride))",['acetone'],Blend,,Quenching,,20567-4-3-2,,['CF3COOH'],,"['Glass transition temp. 311 [K]', 'Method: DSC', 'Condition: Heating rate;20K/min & N2']",,C20H20O7 / C10H8O4,,,,,,,,,,,,,,50,372.37 / 192.17,P902429,20567-2-1-1,,C12H12O4,,,,,,,,,,,,,,50,220.22,P090029,20567-3-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lim, Ae Ran; Hong, Kwan Soo; Chang, Jin-Hae , Solid State Communications , 100 , 10 , 731-736 (1996)"
BD000775,"linear,Thermoplastic,Liquid crystal",Neat resin,,,,"poly[(butane-1,4-diol)-alt-(terephthalic acid)]//poly({2-[2-(2-ethoxyethoxy)ethoxy]hydroquinone;ethane-1,2-diol}-alt-(telaphtaloyl dichloride))",['acetone'],Blend,,Quenching,,20567-4-4-2,,['CF3COOH'],,"['Glass transition temp. 311 [K]', 'Method: DSC', 'Condition: Heating rate;20K/min & N2']",,C20H20O7 / C10H8O4,,,,,,,,,,,,,,20,372.37 / 192.17,P902429,20567-2-1-1,,C12H12O4,,,,,,,,,,,,,,80,220.22,P090029,20567-3-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lim, Ae Ran; Hong, Kwan Soo; Chang, Jin-Hae , Solid State Communications , 100 , 10 , 731-736 (1996)"
BD000775,"linear,Thermoplastic,Liquid crystal",Neat resin,,,,"poly[(butane-1,4-diol)-alt-(terephthalic acid)]//poly({2-[2-(2-ethoxyethoxy)ethoxy]hydroquinone;ethane-1,2-diol}-alt-(telaphtaloyl dichloride))",['acetone'],Blend,,Quenching,,20567-4-5-2,,['CF3COOH'],,"['Glass transition temp. 309 [K]', 'Method: DSC', 'Condition: Heating rate;20K/min & N2']",,C20H20O7 / C10H8O4,,,,,,,,,,,,,,10,372.37 / 192.17,P902429,20567-2-1-1,,C12H12O4,,,,,,,,,,,,,,90,220.22,P090029,20567-3-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lim, Ae Ran; Hong, Kwan Soo; Chang, Jin-Hae , Solid State Communications , 100 , 10 , 731-736 (1996)"
